# Strings exported from IDA
# Format: address | length | type | string
#================================================================================

0x14000ac00 | 31 | ASCII | CM_PROB_IRQ_TRANSLATION_FAILED
0x14000ac20 | 19 | ASCII | CM_PROB_BIOS_TABLE
0x14000ac38 | 22 | ASCII | CM_PROB_NO_SOFTCONFIG
0x14000ac50 | 27 | ASCII | CM_PROB_TRANSLATION_FAILED
0x14000ac70 | 25 | ASCII | CM_PROB_DISABLED_SERVICE
0x14000ac90 | 19 | ASCII | CM_PROB_FAILED_ADD
0x14000aca8 | 23 | ASCII | CM_PROB_CANT_SHARE_IRQ
0x14000acc0 | 26 | ASCII | CM_PROB_HARDWARE_DISABLED
0x14000ace0 | 23 | ASCII | CM_PROB_FAILED_INSTALL
0x14000acf8 | 26 | ASCII | CM_PROB_NO_VALID_LOG_CONF
0x14000ad18 | 18 | ASCII | CM_PROB_TOO_EARLY
0x14000ad30 | 14 | ASCII | CM_PROB_MOVED
0x14000ad40 | 25 | ASCII | CM_PROB_DEVICE_NOT_THERE
0x14000ad60 | 28 | ASCII | CM_PROB_DEVLOADER_NOT_READY
0x14000ad80 | 17 | ASCII | CM_PROB_DISABLED
0x14000ad98 | 24 | ASCII | CM_PROB_WILL_BE_REMOVED
0x14000adb0 | 15 | ASCII | CM_PROB_VXDLDR
0x14000adc0 | 17 | ASCII | CM_PROB_REGISTRY
0x14000add8 | 18 | ASCII | CM_PROB_REINSTALL
0x14000adf0 | 25 | ASCII | CM_PROB_UNKNOWN_RESOURCE
0x14000ae10 | 25 | ASCII | CM_PROB_PARTIAL_LOG_CONF
0x14000ae30 | 22 | ASCII | CM_PROB_REENUMERATION
0x14000ae48 | 21 | ASCII | CM_PROB_NEED_RESTART
0x14000ae60 | 21 | ASCII | CM_PROB_NOT_VERIFIED
0x14000ae78 | 24 | ASCII | CM_PROB_NORMAL_CONFLICT
0x14000ae90 | 13 | ASCII | CM_PROB_LIAR
0x14000aea0 | 21 | ASCII | CM_PROB_FAILED_START
